Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 128.0.0.0,,,10-09-2024 23:06:59,10-09-2024 23:07:33,33.969s,PASSED
,,,,,,,
Test Cases/Record and Play Tests/Login,Chrome 128.0.0.0,,,10-09-2024 23:07:00,10-09-2024 23:07:33,33.326s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,10-09-2024 23:07:02,10-09-2024 23:07:10,8.552s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,10-09-2024 23:07:10,10-09-2024 23:07:11,0.413s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 128.0.0.0,,,10-09-2024 23:07:11,10-09-2024 23:07:16,5.335s,PASSED
"click(findTestObject(""Object Repository/Record and Play Objects/Login/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 128.0.0.0,,,10-09-2024 23:07:16,10-09-2024 23:07:17,1.446s,PASSED
"click(findTestObject(""Object Repository/Record and Play Objects/Login/Page_CURA Healthcare Service/a_Login""))",Chrome 128.0.0.0,,,10-09-2024 23:07:17,10-09-2024 23:07:18,1.037s,PASSED
"setText(findTestObject(""Object Repository/Record and Play Objects/Login/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 128.0.0.0,,,10-09-2024 23:07:18,10-09-2024 23:07:20,2.095s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record and Play Objects/Login/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 128.0.0.0,,,10-09-2024 23:07:20,10-09-2024 23:07:22,1.652s,PASSED
"click(findTestObject(""Object Repository/Record and Play Objects/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 128.0.0.0,,,10-09-2024 23:07:22,10-09-2024 23:07:25,2.633s,PASSED
"click(findTestObject(""Object Repository/Record and Play Objects/Login/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 128.0.0.0,,,10-09-2024 23:07:25,10-09-2024 23:07:27,2.585s,PASSED
delay(3),Chrome 128.0.0.0,,,10-09-2024 23:07:27,10-09-2024 23:07:30,3.098s,PASSED
"click(findTestObject(""Object Repository/Record and Play Objects/Login/Page_CURA Healthcare Service/a_Logout""))",Chrome 128.0.0.0,,,10-09-2024 23:07:30,10-09-2024 23:07:32,1.420s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,10-09-2024 23:07:32,10-09-2024 23:07:33,1.235s,PASSED
